veiculos,coleta_ts
"{'codigo': '901048', 'placa': '', 'linha': '22', 'latitude': -23.001179, 'longitude': -43.364285, 'dataHora': 1747870878000, 'velocidade': 12.2, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 193694.2, 'direcao': 356, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901065', 'placa': '', 'linha': '53', 'latitude': -22.964657, 'longitude': -43.392165, 'dataHora': 1747871706000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 228978.4, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903031', 'placa': '', 'linha': '42', 'latitude': -22.811245, 'longitude': -43.250324, 'dataHora': 1747872526000, 'velocidade': 31.2, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 182619, 'direcao': 59, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902092', 'placa': '', 'linha': '40', 'latitude': -22.87668, 'longitude': -43.330057, 'dataHora': 1747872537000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 110441.6, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903032', 'placa': '', 'linha': '42', 'latitude': -22.839574, 'longitude': -43.239768, 'dataHora': 1747872058000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 158564.7, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901075', 'placa': '', 'linha': '22', 'latitude': -23.000725, 'longitude': -43.366138, 'dataHora': 1747871807000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 255941.9, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903055', 'placa': '', 'linha': '17', 'latitude': -22.919383, 'longitude': -43.607945, 'dataHora': 1747871292000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA]', 'hodometro': 78438, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902112', 'placa': '', 'linha': '41', 'latitude': -22.876441, 'longitude': -43.329969, 'dataHora': 1747869099000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 107917.6, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903037', 'placa': '', 'linha': '17', 'latitude': -22.928682, 'longitude': -43.65426, 'dataHora': 1747872527000, 'velocidade': 33.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA]', 'hodometro': 97130.6, 'direcao': 54, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903002', 'placa': '', 'linha': '42', 'latitude': -22.857306, 'longitude': -43.329264, 'dataHora': 1747872529000, 'velocidade': 34.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 51344.8, 'direcao': 182, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
