veiculos,coleta_ts
"{'codigo': '901003', 'placa': 'RKM8C54', 'linha': '52', 'latitude': -22.967202, 'longitude': -43.397539, 'dataHora': 1749237752000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 192881.7, 'direcao': 224, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902455', 'placa': '', 'linha': '46', 'latitude': -22.964483, 'longitude': -43.392, 'dataHora': 1749237510000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '46 - PENHA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 87900.3, 'direcao': 343, 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': 'KWB9798 - APOIO VAN', 'placa': 'KWB9798', 'linha': '0', 'latitude': -23.000786, 'longitude': -43.365119, 'dataHora': 1749237327000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 10583.7, 'direcao': 321, 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901002', 'placa': '', 'linha': '22', 'latitude': -23.006489, 'longitude': -43.313092, 'dataHora': 1749237772000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 166773.9, 'direcao': 273, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902313', 'placa': '', 'linha': '51', 'latitude': -23.008664, 'longitude': -43.440307, 'dataHora': 1749237749000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 14953.9, 'direcao': 38, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902103', 'placa': '', 'linha': '41', 'latitude': -22.897813, 'longitude': -43.352352, 'dataHora': 1749237769000, 'velocidade': 23.7, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA]', 'hodometro': 118712.7, 'direcao': 216, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901001', 'placa': 'RJD7J89', 'linha': '52', 'latitude': -22.972929, 'longitude': -43.385843, 'dataHora': 1749237756000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 178763.7, 'direcao': 143, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901050', 'placa': '', 'linha': '35', 'latitude': -22.994803, 'longitude': -43.36592, 'dataHora': 1749237764000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 200985.3, 'direcao': 180, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901077', 'placa': '', 'linha': '52', 'latitude': -23.002234, 'longitude': -43.365835, 'dataHora': 1749237616000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 170219.6, 'direcao': 219, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '903045', 'placa': '', 'linha': '17', 'latitude': -22.918881, 'longitude': -43.607724, 'dataHora': 1749237775000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA]', 'hodometro': 88309.8, 'direcao': 89, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
